Year of reporting,*Stage-level CO2e available,Product name (and functional unit),Company,Country (where company is incorporated),Company's GICS Industry Group,Company's GICS Industry,*Company's sector,Product weight (kg),*Source for product weight,"Product's carbon footprint (PCF, kg CO2e)",*Carbon intensity,Protocol used for PCF,Relative change in PCF vs previous,Company-reported reason for change,*Change reason category,*%Upstream estimated from %Operations,*Upstream CO2e (fraction of total PCF),*Operations CO2e (fraction of total PCF),*Downstream CO2e (fraction of total PCF),*Transport CO2e (fraction of total PCF),*EndOfLife CO2e (fraction of total PCF)
2016,No,Automotive Battery,LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,Estimated from external data based on product description,4286.0,4.29,GHGP,-82.00%,"A decrease in sales to Ford and a volume change of each product affect the change. Also Ochang 1 plant conducted many energy saving activities for more energy efficiency during manufacturing. The emissions of FCA are newly counted this year, because we started to formally sell our automotive batteries to FCA in 2016.",Model/parameters AND product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2015,No,ABS (Acrylonitrile Butadiene Styrene),LG Chem Ltd,South Korea,Chemicals,Not used for 2015 reporting,Chemicals,1000.0,As per company's submission to CDP,876.0,0.88,GHGP,-4.27%,"Conducted energy-saving activities, in spite of its limited saving potential.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2016,No,ABS(Acrylonitrile Butadiene Styrene),LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,Estimated from external data based on product description,396.0,0.4,GHGP,-43.00%,"Hwachi plant conducted many active energy saving activities, in spite of its limited saving potential.",Product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2016,No,BPA(Bisphenol-A),LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,Estimated from external data based on product description,1088.0,1.09,GHGP,(not reported by company),N/a,N/a (no previous data available),N/a (product with insufficient stage-level data),,,,,
2016,No,IT&New Application Battery,LG Chem Ltd,South Korea,Materials,Chemicals,Chemicals,1000.0,Estimated from external data based on product description,10607.0,10.61,GHGP,3.57%,"A big increase is caused by the new customers requesting CDP supply chain this year such as Dell Inc. and HP Inc., who was not counted last year. Also a rise in sales of new products which have different manufacturing efficiencies affects the allocation of Acer Inc. and Stanley Black & Decker Inc..",Model/parameters AND product carbon efficiency changed,N/a (product with insufficient stage-level data),,,,,
2013,Yes,LG-E970,LG Electronics,South Korea,Consumer Durables & Apparel,Household Durables,"Home durables, textiles, & equipment",0.1471,Estimated from external data based on product description,7.0,47.59,ISO,-32.35%,Reduction of emission of pre-manufacturing stage,Product carbon efficiency changed,No,0.1128,0.0001,0.887,0.3507,0.0
2015,Yes,"Mouse, M185",Logitech International SA,Switzerland,Technology Hardware & Equipment,Not used for 2015 reporting,"Computer, IT & telecom",0.136,Estimated from external data based on product description,4.32,31.76,Not reported,(not reported by company),N/a,N/a (no previous data available),No,0.0463,0.6042000000000001,0.34950000000000003,0.0116,0.0139
2013,Yes,White crystalline sugar,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",Food Products,Food & Beverage,1000.0,As per company's submission to CDP,650.0,0.65,PAS2050,(not reported by company),N/a,N/a (no previous data available),No,0.46149999999999997,0.5385,0.0,,
2014,No,Sugar,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",Food Products,Food & Beverage,1000.0,As per company's submission to CDP,650.0,0.65,PAS2050,5.00%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),,,,,
2016,No,Sugar,Associated British Foods,United Kingdom,"Food, Beverage & Tobacco",Beverages,Food & Beverage,1000.0,As per company's submission to CDP,650.0,0.65,PAS2050,(not reported by company),N/a,N/a (no %change reported),N/a (product with insufficient stage-level data),,,,,
2013,No,grinding media cast.,MAGOTTEAUX,Brazil,Materials,Metals & Mining,Construction & commercial materials,1500.0,As per company's submission to CDP,1750.0,1.17,GHGP,42.00%,N/a,No specific reason reported,N/a (product with insufficient stage-level data),,,,,
