Year,Stage_Level_CO2e_Available,Country,Industry,Sector,Product_Weight,PCF_Protocol,PCF
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",6.165,ISO,29.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",32.916,ISO,94.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",154.804,ISO,380.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",35.331,ISO,71.8
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",35.38,ISO,170.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",35.38,ISO,180.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",35.298,ISO,98.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",37.0,ISO,51.5
2013,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",44.706,ILCD Handbook,160.0
2014,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",44.706,ILCD Handbook,160.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",26.183,ISO,87.8
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",25.0,ISO,120.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",38.337,ISO,39.6
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",31.0,ISO,110.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",40.9,ISO,95.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",14.963,ISO,60.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",23.623,ISO,90.9
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",5.17,ISO,56.0
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",17.7,ISO,101.0
2013,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",52.221,ILCD Handbook,110.8
2014,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",52.221,ILCD Handbook,110.8
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",67.323,ISO,52.6
2016,No,USA,Commercial Services & Supplies,"Home durables, textiles, & equipment",47.334,ISO,49.7
